Date,RBA Interest Rate,Inflation,,,
17/11/11,0.045,0.034
16/11/11,0.045,0.034
15/11/11,0.045,0.034
14/11/11,0.045,0.034
11/11/11,0.045,0.034
10/11/11,0.045,0.034
9/11/11,0.045,0.034
8/11/11,0.045,0.034
7/11/11,0.045,0.034
4/11/11,0.045,0.034
3/11/11,0.045,0.034
2/11/11,0.045,0.034
1/11/11,0.0475,0.034
31/10/11,0.0475,0.034
28/10/11,0.0475,0.034
27/10/11,0.0475,0.034
26/10/11,0.0475,0.034
25/10/11,0.0475,0.034
24/10/11,0.0475,0.034
21/10/11,0.0475,0.034
20/10/11,0.0475,0.034
19/10/11,0.0475,0.034
18/10/11,0.0475,0.034
17/10/11,0.0475,0.034
14/10/11,0.0475,0.034
13/10/11,0.0475,0.034
12/10/11,0.0475,0.034
11/10/11,0.0475,0.034
10/10/11,0.0475,0.034
7/10/11,0.0475,0.034
6/10/11,0.0475,0.034
5/10/11,0.0475,0.034
4/10/11,0.0475,0.034
3/10/11,0.0475,0.034
30/09/11,0.0475,0.034
29/09/11,0.0475,0.034
28/09/11,0.0475,0.034
27/09/11,0.0475,0.034
26/09/11,0.0475,0.034
23/09/11,0.0475,0.034
22/09/11,0.0475,0.034
21/09/11,0.0475,0.034
20/09/11,0.0475,0.034
19/09/11,0.0475,0.034
16/09/11,0.0475,0.034
15/09/11,0.0475,0.034
14/09/11,0.0475,0.034
13/09/11,0.0475,0.034
12/09/11,0.0475,0.034
9/09/11,0.0475,0.034
8/09/11,0.0475,0.034
7/09/11,0.0475,0.034
6/09/11,0.0475,0.034
5/09/11,0.0475,0.034
2/09/11,0.0475,0.034
1/09/11,0.0475,0.034
31/08/11,0.0475,0.035
30/08/11,0.0475,0.035
29/08/11,0.0475,0.035
26/08/11,0.0475,0.035
25/08/11,0.0475,0.035
24/08/11,0.0475,0.035
23/08/11,0.0475,0.035
22/08/11,0.0475,0.035
19/08/11,0.0475,0.035
18/08/11,0.0475,0.035
17/08/11,0.0475,0.035
16/08/11,0.0475,0.035
15/08/11,0.0475,0.035
12/08/11,0.0475,0.035
11/08/11,0.0475,0.035
10/08/11,0.0475,0.035
9/08/11,0.0475,0.035
8/08/11,0.0475,0.035
5/08/11,0.0475,0.035
4/08/11,0.0475,0.035
3/08/11,0.0475,0.035
2/08/11,0.0475,0.035
1/08/11,0.0475,0.035
29/07/11,0.0475,0.035
28/07/11,0.0475,0.035
27/07/11,0.0475,0.035
26/07/11,0.0475,0.035
25/07/11,0.0475,0.035
22/07/11,0.0475,0.035
21/07/11,0.0475,0.035
20/07/11,0.0475,0.035
19/07/11,0.0475,0.035
18/07/11,0.0475,0.035
15/07/11,0.0475,0.035
14/07/11,0.0475,0.035
13/07/11,0.0475,0.035
12/07/11,0.0475,0.035
11/07/11,0.0475,0.035
8/07/11,0.0475,0.035
7/07/11,0.0475,0.035
6/07/11,0.0475,0.035
5/07/11,0.0475,0.035
4/07/11,0.0475,0.035
1/07/11,0.0475,0.035
30/06/11,0.0475,0.035
29/06/11,0.0475,0.035
28/06/11,0.0475,0.035
27/06/11,0.0475,0.035
24/06/11,0.0475,0.035
23/06/11,0.0475,0.035
22/06/11,0.0475,0.035
21/06/11,0.0475,0.035
20/06/11,0.0475,0.035
17/06/11,0.0475,0.035
16/06/11,0.0475,0.035
15/06/11,0.0475,0.035
14/06/11,0.0475,0.035
10/06/11,0.0475,0.035
9/06/11,0.0475,0.035
